,n,variance_before,variance_after,precision,noise_scalers
0,1000,25.40049507436587,25.397407808563266,0.0,0.01
1,1000,25.40049507436587,25.538929211965172,0.0,0.1
2,5000,20.109707771785587,20.35739889752647,0.0,0.1
3,5000,20.109707771785587,25.55942531660901,0.4,0.5
4,5000,20.109707771785587,41.53729765172994,0.0,1.0
5,5000,20.109707771785587,68.04332477714838,0.2,1.5
6,5000,20.109707771785587,105.07750669286433,0.6,2.0
7,5000,20.109707771785587,548.3738487834078,0.4,5.0
8,5000,20.109707771785587,2129.453468824781,0.6,10.0
9,5000,20.109707771785587,18981.92673928779,0.6,30.0
10,10000,25.3404376582526,25.34109157031812,0.0,0.01
11,10000,25.3404376582526,25.474743644056026,0.0,0.1
12,1000,25.40049507436587,29.855038998481206,0.0,0.5
13,10000,25.3404376582526,28.851231257229735,0.4,0.5
14,10000,25.3404376582526,39.46018403110688,0.4,1.0
15,10000,25.3404376582526,57.167295979884024,0.6,1.5
16,10000,25.3404376582526,81.97256710356115,0.6,2.0
17,10000,25.3404376582526,379.8655365185241,0.8,5.0
18,10000,25.3404376582526,1444.2065528687958,0.6,10.0
19,10000,25.3404376582526,12799.729793169885,0.4,30.0
20,20000,23.44969896012071,23.450982288153455,0.0,0.01
21,20000,23.44969896012071,23.602690467615492,0.0,0.1
22,20000,23.44969896012071,27.32928376798058,0.6,0.5
23,1000,25.40049507436587,43.715516012893566,0.0,1.0
24,20000,23.44969896012071,38.995436751805386,0.6,1.0
25,20000,23.44969896012071,58.44815791159512,0.4,1.5
26,20000,23.44969896012071,85.68744724734978,0.4,2.0
27,20000,23.44969896012071,412.6411149571413,1.0,5.0
28,20000,23.44969896012071,1580.489348550655,1.0,10.0
29,20000,23.44969896012071,14038.45045888964,1.0,30.0
30,50000,21.499465001110664,21.502354354795585,0.0,0.01
31,50000,21.499465001110664,21.65323802452104,0.0,0.1
32,50000,21.499465001110664,25.04342981952194,1.0,0.5
33,50000,21.499465001110664,35.525143891331695,1.0,1.0
34,1000,25.40049507436587,66.98192611760297,0.2,1.5
35,50000,21.499465001110664,52.94460721653994,1.0,1.5
36,50000,21.499465001110664,77.30181979514666,1.0,2.0
37,50000,21.499465001110664,369.1378295881552,1.0,5.0
38,50000,21.499465001110664,1410.551119515048,1.0,10.0
39,50000,21.499465001110664,12513.953532621106,1.0,30.0
40,100000,21.645006496088754,21.64687104078384,0.0,0.01
41,100000,21.645006496088754,21.810489558910366,0.4,0.1
42,100000,21.645006496088754,25.735479940658156,1.0,0.5
43,100000,21.645006496088754,37.98359871138096,1.0,1.0
44,100000,21.645006496088754,58.38936280825714,1.0,1.5
45,1000,25.40049507436587,99.6542693126094,0.0,2.0
46,100000,21.645006496088754,86.95277223128673,1.0,2.0
47,100000,21.645006496088754,429.64378061868564,1.0,5.0
48,100000,21.645006496088754,1653.407087356622,1.0,10.0
49,100000,21.645006496088754,14706.105640461765,1.0,30.0
50,1000000,26.31589896981164,26.317759897579307,0.0,0.01
51,1000000,26.31589896981164,26.481775947833555,0.8,0.1
52,1000000,26.31589896981164,30.417899423147954,1.0,0.5
53,1000000,26.31589896981164,42.701438784551215,1.0,1.0
54,1000000,26.31589896981164,63.166517054021284,1.0,1.5
55,1000000,26.31589896981164,91.81313423155832,1.0,2.0
56,1000,25.40049507436587,493.2129233788856,0.2,5.0
57,1000000,26.31589896981164,435.50515436618485,1.0,5.0
58,1000000,26.31589896981164,1662.848300569247,1.0,10.0
59,1000000,26.31589896981164,14753.759793448386,1.0,30.0
60,1000,25.40049507436587,1901.6186607131087,0.0,10.0
61,1000,25.40049507436587,16941.17470034703,0.0,30.0
62,5000,20.109707771785587,20.115526205737137,0.0,0.01
